Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
214,Matheus Henrique,brBRA,MF,Cruzeiro,27-178,1997,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,4,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
215,Paulo Henrique,brBRA,DF,Vasco da Gama,28-325,1996,10,10,875,9.7,0,3,3,0,0,0,4,0,0.7,0.7,1.8,2.4,29,35,61,0,0.31,0.31,0,0.31,0.07,0.18,0.25,0.07,0.25,Matches
216,Pedro Henrique,brBRA,FW,Ceará,34-364,1990,7,6,451,5,1,0,1,1,0,0,2,0,1,1,0.1,1.1,15,6,24,0.2,0,0.2,0.2,0.2,0.2,0.02,0.22,0.2,0.22,Matches
217,Pedro Henrique,brBRA,DF,RB Bragantino,29-256,1995,11,11,990,11,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.4,6,33,0,0,0.09,0.09,0,0.09,0.02,0.02,0.03,0.02,0.03,Matches
218,Hércules,brBRA,MF,Fluminense,24-238,2000,8,7,518,5.8,1,0,1,1,0,0,1,0,1,1,0,1,6,25,14,0.17,0,0.17,0.17,0.17,0.17,0,0.17,0.17,0.17,Matches
219,Diogo Hereda,brBRA,DF,Sport Recife,26-268,1998,11,10,848,9.4,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.7,18,47,77,0,0.11,0.11,0,0.11,0.03,0.04,0.07,0.03,0.07,Matches
220,Lucca Holanda,brBRA,"FW,MF",Internacional,22-074,2003,4,1,161,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,5,2,9,0,0,0,0,0,0.27,0.07,0.34,0.27,0.34,Matches
221,Hugo,brBRA,DF,Corinthians,27-290,1997,3,2,154,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,12,12,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Matches
222,Vitor Hugo,brBRA,DF,Atlético Mineiro,34-026,1991,5,2,191,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,4,0,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
223,Hulk,brBRA,"FW,MF",Atlético Mineiro,38-325,1986,11,10,910,10.1,1,2,3,0,1,1,3,0,1.9,1.1,2,3.1,20,19,84,0.1,0.2,0.3,0,0.2,0.19,0.2,0.39,0.11,0.31,Matches
224,José Hurtado,ecECU,DF,RB Bragantino,23-174,2001,11,11,854,9.5,0,0,0,0,0,0,2,1,0.3,0.3,0.3,0.7,20,31,23,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,Matches
225,Hyan,brBRA,MF,Santos,21-083,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
226,Iago,brBRA,"DF,MF",Bahia,28-084,1997,5,3,208,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,11,0,0,0,0,0,0.04,0.1,0.14,0.04,0.14,Matches
227,Ignácio,brBRA,DF,Fluminense,28-196,1996,7,4,367,4.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.7,1,4,1,0,0,0,0,0,0.04,0.13,0.17,0.04,0.17,Matches
228,Juan Ignacio Dinenno,arARG,FW,Cruzeiro,30-291,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
229,Juan Ignacio Dinenno,arARG,FW,São Paulo,30-291,1994,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,Matches
230,Isaque,brBRA,MF,Fluminense,18-052,2007,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
231,Zé Ivaldo,brBRA,DF,Santos,28-114,1997,11,10,945,10.5,1,0,1,1,0,0,4,0,0.8,0.8,0,0.8,4,32,0,0.1,0,0.1,0.1,0.1,0.08,0,0.08,0.08,0.08,Matches
232,Jadson,brBRA,MF,Juventude,31-289,1993,10,10,891,9.9,0,1,1,0,0,0,3,0,0.5,0.5,0.4,0.9,4,38,27,0,0.1,0.1,0,0.1,0.05,0.04,0.09,0.05,0.09,Matches
233,Jair,brBRA,MF,Vasco da Gama,30-293,1994,7,4,351,3.9,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,3,25,2,0,0,0,0,0,0.02,0.05,0.06,0.02,0.06,Matches
234,Jamerson,brBRA,DF,Vitória,26-279,1998,12,12,"1,026",11.4,0,2,2,0,0,0,0,0,0.4,0.4,1,1.4,33,42,51,0,0.18,0.18,0,0.18,0.04,0.09,0.12,0.04,0.12,Matches
235,Janderson,brBRA,"FW,MF",Vitória,26-040,1999,11,9,729,8.1,1,0,1,1,0,0,3,0,0.7,0.7,0.3,1,9,12,33,0.12,0,0.12,0.12,0.12,0.09,0.04,0.13,0.09,0.13,Matches
236,Léo Jardim,brBRA,GK,Vasco da Gama,30-087,1995,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
237,Jeffinho,brBRA,MF,Botafogo (RJ),25-167,1999,3,1,56,0.6,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,4,5,0,0,1.61,1.61,0,1.61,0.45,0.14,0.6,0.45,0.6,Matches
238,Jemerson,brBRA,DF,Grêmio,32-295,1992,9,8,770,8.6,1,0,1,1,0,0,3,0,0.9,0.9,0,0.9,4,21,2,0.12,0,0.12,0.12,0.12,0.11,0,0.11,0.11,0.11,Matches
239,Jemmes,brBRA,DF,Mirassol,25-067,2000,11,11,990,11,1,0,1,1,0,0,1,0,1.3,1.3,0,1.3,8,22,1,0.09,0,0.09,0.09,0.09,0.12,0,0.12,0.12,0.12,Matches
240,Caíque de Jesus Gonçalves,brBRA,MF,Juventude,29-248,1995,5,4,318,3.5,0,0,0,0,0,0,1,0,0,0,0,0,4,10,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
241,Igor Jesus,brBRA,FW,Botafogo (RJ),24-110,2001,10,10,875,9.7,3,1,4,3,0,0,0,0,2.5,2.5,1.2,3.7,15,21,51,0.31,0.1,0.41,0.31,0.41,0.26,0.13,0.38,0.26,0.38,Matches
242,Maykon Jesus,brBRA,DF,Vitória,19-190,2005,1,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,Matches
243,John,brBRA,GK,Botafogo (RJ),29-122,1996,11,11,990,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Jonathan,brBRA,DF,Cruzeiro,21-019,2004,5,4,284,3.2,0,1,1,0,0,0,0,1,0,0,0.5,0.5,0,5,3,0,0.32,0.32,0,0.32,0,0.14,0.14,0,0.14,Matches
245,Kaio Jorge,brBRA,FW,Cruzeiro,23-142,2002,11,11,829,9.2,8,2,10,8,0,1,2,0,6.3,5.5,1.1,6.7,17,14,63,0.87,0.22,1.09,0.87,1.09,0.69,0.12,0.81,0.6,0.73,Matches
246,José,brBRA,DF,Cruzeiro,19-288,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Willian José,brBRA,FW,Bahia,33-204,1991,10,6,492,5.5,2,1,3,1,1,1,1,0,2.6,1.8,1.6,3.3,2,8,22,0.37,0.18,0.55,0.18,0.37,0.47,0.29,0.76,0.32,0.61,Matches
248,Jhonatan Jowjow,brBRA,MF,RB Bragantino,22-279,2002,12,12,941,10.5,2,1,3,2,0,0,2,0,1.2,1.2,3.4,4.6,32,66,49,0.19,0.1,0.29,0.19,0.29,0.12,0.32,0.44,0.12,0.44,Matches
249,Luciano Juba,brBRA,DF,Bahia,25-290,1999,12,11,984,10.9,2,3,5,2,0,0,1,0,1.2,1.2,2.1,3.3,25,50,32,0.18,0.27,0.46,0.18,0.46,0.11,0.19,0.3,0.11,0.3,Matches
250,Juninho,brBRA,FW,Flamengo,28-206,1996,6,2,212,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,0,2,15,0,0,0,0,0,0.3,0.02,0.33,0.3,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
251,Juninho,brBRA,DF,Internacional,29-171,1995,5,5,450,5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,4,16,2,0,0,0,0,0,0.04,0,0.05,0.04,0.05,Matches
252,Kaiki,brBRA,DF,Cruzeiro,22-099,2003,12,12,"1,074",11.9,0,2,2,0,0,0,2,0,0.6,0.6,1.2,1.8,22,40,40,0,0.17,0.17,0,0.17,0.05,0.1,0.15,0.05,0.15,Matches
253,Walter Kannemann,arARG,DF,Grêmio,34-093,1991,4,3,331,3.7,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,4,0,0,0,0,0,0,0.08,0.02,0.11,0.08,0.11,Matches
254,Kanu,brBRA,DF,Bahia,28-100,1997,2,2,102,1.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,3,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
255,Kayke,brBRA,FW,Corinthians,21-048,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
256,Renato Kayser,brBRA,FW,Vitória,29-118,1996,5,4,391,4.3,3,0,3,3,0,0,0,0,3.3,3.3,0.2,3.5,1,2,13,0.69,0,0.69,0.69,0.69,0.77,0.05,0.81,0.77,0.81,Matches
257,Kenji,brBRA,FW,Cruzeiro,19-136,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,Matches
258,Keno,brBRA,FW,Fluminense,35-278,1989,4,0,96,1.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,2,12,0,0,0,0,0,0.36,0.09,0.45,0.36,0.45,Matches
259,Kevyson,brBRA,DF,Santos,21-078,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
260,Benjamín Kuscevic,clCHI,DF,Fortaleza,29-044,1996,11,11,980,10.9,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.2,5,26,0,0,0,0,0,0,0.02,0,0.02,0.01,0.02,Matches
261,Ignacio Laquintana,uyURU,FW,RB Bragantino,26-134,1999,7,3,225,2.5,2,0,2,2,0,0,0,0,0.4,0.4,0,0.4,5,6,22,0.8,0,0.8,0.8,0.8,0.17,0,0.17,0.17,0.17,Matches
262,Joaquín Lavega,uyURU,DF,Fluminense,20-132,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,Matches
263,Lelê,brBRA,FW,Ceará,27-257,1997,7,0,110,1.2,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,5,2,8,0,0,0,0,0,0.57,0,0.57,0.57,0.57,Matches
264,Mauricio Lemos,uyURU,DF,Vasco da Gama,29-169,1995,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Rubén Lezcano,pyPAR,MF,Fluminense,21-126,2004,3,0,43,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,4,3,0,0,0,0,0,0.16,0.21,0.38,0.16,0.38,Matches
266,Lima,brBRA,MF,Fluminense,29-004,1996,8,4,397,4.4,1,0,1,1,0,0,1,0,1.6,1.6,0.1,1.8,6,13,19,0.23,0,0.23,0.23,0.23,0.37,0.03,0.4,0.37,0.4,Matches
267,Lucas Lima,brBRA,MF,Ceará,24-346,2000,4,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
268,Lucas Lima,brBRA,"MF,FW",Sport Recife,34-341,1990,10,9,779,8.7,0,2,2,0,0,0,4,0,0.5,0.5,1.3,1.8,14,64,37,0,0.23,0.23,0,0.23,0.06,0.15,0.2,0.06,0.2,Matches
269,Kauan Lindes,brBRA,MF,Botafogo (RJ),21-199,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,3,2,0,0,0,0,0,0,0.59,0.59,0,0.59,Matches
270,Lenny Lobato,brBRA,FW,Sport Recife,24-132,2001,7,2,244,2.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,2,18,0,0,0,0,0,0.16,0.03,0.19,0.16,0.19,Matches
271,David Loiola,brBRA,DF,Botafogo (RJ),22-176,2002,6,6,499,5.5,0,0,0,0,0,0,0,1,0,0,0.1,0.1,6,25,0,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
272,José López,arARG,FW,Palmeiras,24-191,2000,10,6,519,5.8,2,0,2,1,1,1,2,0,3.4,2.6,0.3,2.9,12,11,26,0.35,0,0.35,0.17,0.17,0.59,0.04,0.64,0.45,0.5,Matches
273,Lourenço,brBRA,MF,Ceará,27-281,1997,9,2,274,3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,11,1,0,0,0,0,0,0.05,0.1,0.15,0.05,0.15,Matches
274,Lucão,brBRA,GK,RB Bragantino,24-109,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
275,Ayrton Lucas,brBRA,DF,Flamengo,27-361,1997,5,2,213,2.4,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,8,16,5,0.42,0,0.42,0.42,0.42,0.26,0.03,0.28,0.26,0.28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
276,Jean Lucas,brBRA,MF,Bahia,26-358,1998,10,9,698,7.8,0,0,0,0,0,0,1,1,1.1,1.1,1.1,2.2,17,26,33,0,0,0,0,0,0.14,0.15,0.28,0.14,0.28,Matches
277,João Lucas,brBRA,DF,Grêmio,27-098,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
278,Zé Lucas,brBRA,MF,Sport Recife,17-084,2008,8,5,431,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,6,15,13,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches
279,Luciano,brBRA,MF,São Paulo,32-028,1993,11,8,674,7.5,1,0,1,0,1,1,3,0,2.4,1.6,1.3,2.9,9,24,38,0.13,0,0.13,0,0,0.32,0.17,0.49,0.22,0.39,Matches
280,Luighi,brBRA,"FW,DF",Palmeiras,19-046,2006,2,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,4,1,7,0,0,0,0,0,0.1,0.42,0.52,0.1,0.52,Matches
281,Victor Luis,brBRA,DF,Vasco da Gama,31-357,1993,1,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,7,3,0,0,0,0,0,0.06,0.03,0.08,0.06,0.08,Matches
282,Luisão,brBRA,DF,Santos,21-279,2003,3,2,168,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
283,David Luiz,brBRA,DF,Fortaleza,38-054,1987,7,4,399,4.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,4,21,3,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
284,Guilherme Luiz,brBRA,FW,Ceará,20-051,2005,4,0,116,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,2,1,4,0,0.78,0.78,0,0.78,0.07,0.64,0.71,0.07,0.71,Matches
285,Lyanco,brBRA,DF,Atlético Mineiro,28-134,1997,8,8,718,8,0,0,0,0,0,0,6,2,0.5,0.5,0.1,0.7,8,35,1,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08,Matches
286,Everton Maceió,brBRA,"FW,MF",Mirassol,21-336,2003,5,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,1,1.1,9,7,19,0,0,0,0,0,0.1,0.67,0.77,0.1,0.77,Matches
287,Willian Machado,brBRA,DF,Ceará,28-214,1996,11,11,969,10.8,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,24,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
288,Talles Magno,brBRA,"FW,MF",Corinthians,22-354,2002,9,4,385,4.3,0,1,1,0,0,0,1,0,1.1,1.1,0.5,1.6,11,14,56,0,0.23,0.23,0,0.23,0.26,0.12,0.38,0.26,0.38,Matches
289,Gustavo Maia,brBRA,FW,Sport Recife,24-144,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0.05,0.17,0.22,0.05,0.22,Matches
290,Pablo Maia,brBRA,MF,São Paulo,23-156,2002,5,3,249,2.8,0,0,0,0,0,0,2,0,0,0,0,0.1,1,7,1,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
291,Thiago Maia,brBRA,MF,Internacional,28-084,1997,9,6,477,5.3,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,4,34,10,0.19,0.19,0.38,0.19,0.38,0.12,0.05,0.17,0.12,0.17,Matches
292,Léo Mana,brBRA,DF,Corinthians,21-070,2004,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
293,Gustavo Mancha,brBRA,DF,Fortaleza,20-325,2004,9,9,800,8.9,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,8,43,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
294,Eros Mancuso,arARG,"DF,FW",Fortaleza,26-059,1999,9,7,596,6.6,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1,10,26,27,0,0,0,0,0,0.09,0.06,0.16,0.09,0.16,Matches
295,Luis Mandaca,brBRA,"MF,FW",Juventude,23-256,2001,10,9,700,7.8,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1,13,21,25,0.13,0,0.13,0.13,0.13,0.09,0.04,0.12,0.09,0.12,Matches
296,Elias Manoel,brBRA,"MF,FW",Botafogo (RJ),23-197,2001,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,2,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
297,Fernando Marçal,brBRA,DF,Botafogo (RJ),36-116,1989,2,0,27,0.3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Matches
298,Marcão,brBRA,GK,Juventude,33-101,1992,6,5,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,João Marcelo,brBRA,FW,Atlético Mineiro,20-061,2005,6,0,57,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0,0.3,1,3,9,1.58,0,1.58,1.58,1.58,0.39,0.03,0.42,0.39,0.42,Matches
300,Zé Marcos,brBRA,DF,Vitória,27-134,1998,9,8,765,8.5,0,0,0,0,0,0,1,0,0,0,0,0,4,31,1,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
301,Marinho,brBRA,FW,Fortaleza,35-017,1990,8,5,392,4.4,0,2,2,0,0,0,1,1,0.8,0.8,2,2.8,15,7,43,0,0.46,0.46,0,0.46,0.19,0.46,0.64,0.19,0.64,Matches
302,Marlon,brBRA,DF,Cruzeiro,28-026,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.41,0,0.41,Matches
303,Marlon,brBRA,DF,Grêmio,28-026,1997,8,8,720,8,0,0,0,0,0,0,2,0,0.3,0.3,1.2,1.4,10,19,15,0,0,0,0,0,0.03,0.15,0.18,0.03,0.18,Matches
304,Lucca Marques,brBRA,"FW,MF",São Paulo,18-001,2007,3,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,0,11,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
305,Marquinhos,brBRA,FW,Cruzeiro,22-069,2003,7,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,9,0,0,0,0,0,0.1,0.21,0.31,0.1,0.31,Matches
306,Juan Martín Lucero,arARG,FW,Fortaleza,33-197,1991,12,7,697,7.7,3,1,4,3,0,1,2,0,3.4,2.6,2,4.6,2,10,31,0.39,0.13,0.52,0.39,0.52,0.43,0.26,0.7,0.33,0.6,Matches
307,Martinelli,brBRA,MF,Fluminense,24-036,2001,11,11,947,10.5,1,1,2,1,0,0,0,0,1.5,1.5,1.2,2.6,12,55,12,0.1,0.1,0.19,0.1,0.19,0.14,0.11,0.25,0.14,0.25,Matches
308,Alejandro Martínez,arARG,FW,Ceará,28-060,1997,2,0,49,0.5,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,1,3,0,1.84,1.84,0,1.84,0.03,0.09,0.12,0.03,0.12,Matches
309,Emiliano Martínez,uyURU,MF,Palmeiras,25-302,1999,10,7,605,6.7,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.5,5,21,1,0.15,0,0.15,0.15,0.15,0.04,0.04,0.08,0.04,0.08,Matches
310,Adriano Martins,brBRA,DF,Juventude,28-075,1997,5,5,360,4,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,6,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
311,Andre Martins,brBRA,FW,Grêmio,23-180,2001,6,0,91,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3,8,0,0,0,0,0,1.01,0,1.01,1.01,1.01,Matches
312,Matheus Martins,brBRA,"FW,MF",Botafogo (RJ),21-334,2003,5,3,280,3.1,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,20,11,18,0,0,0,0,0,0.15,0.03,0.17,0.15,0.17,Matches
313,Gustavo Martins Santos,brBRA,DF,Grêmio,22-308,2002,3,2,197,2.2,0,0,0,0,0,0,1,0,0.2,0.2,0,0.3,2,5,2,0,0,0,0,0,0.11,0,0.12,0.11,0.12,Matches
314,Gonzalo Mastriani,uyURU,FW,Botafogo (RJ),32-048,1993,7,3,254,2.8,1,0,1,1,0,0,1,0,1.7,1.7,0.7,2.4,1,3,7,0.35,0,0.35,0.35,0.35,0.58,0.25,0.83,0.58,0.83,Matches
315,Matheusinho,brBRA,MF,Vitória,27-240,1997,9,9,735,8.2,2,0,2,2,0,0,3,1,1.7,1.7,0.3,2,23,26,30,0.24,0,0.24,0.24,0.24,0.2,0.03,0.24,0.2,0.24,Matches
316,Matheuzinho,brBRA,DF,Corinthians,24-280,2000,9,9,800,8.9,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.4,17,52,42,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05,Matches
317,Ricardo Mathias,brBRA,FW,Internacional,18-325,2006,4,2,161,1.8,1,0,1,1,0,0,0,0,2.2,2.2,0.1,2.3,0,2,9,0.56,0,0.56,0.56,0.56,1.21,0.07,1.28,1.21,1.28,Matches
318,Guillermo Matías Fernández,arARG,MF,Fortaleza,33-247,1991,7,3,286,3.2,0,2,2,0,0,0,1,0,0.4,0.4,0.2,0.6,2,13,9,0,0.63,0.63,0,0.63,0.12,0.07,0.2,0.12,0.2,Matches
319,Mauricio,brBRA,"MF,FW",Palmeiras,24-024,2001,7,2,265,2.9,1,0,1,1,0,0,0,0,1,1,0.2,1.2,5,12,11,0.34,0,0.34,0.34,0.34,0.33,0.07,0.4,0.33,0.4,Matches
320,Maycon,brBRA,MF,Corinthians,27-335,1997,10,5,521,5.8,0,0,0,0,0,0,0,0,0,0,0.3,0.3,6,34,15,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
321,Mayke,brBRA,DF,Palmeiras,32-217,1992,2,2,121,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,6,11,5,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
322,Luca Meirelles,brBRA,"MF,FW",Santos,18-092,2007,4,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
323,Memphis,nlNED,FW,Corinthians,31-122,1994,8,8,630,7,3,3,6,3,0,1,2,0,3.6,2.8,1.5,4.3,10,29,52,0.43,0.43,0.86,0.43,0.86,0.52,0.21,0.73,0.4,0.61,Matches
324,Nathan Mendes,brBRA,DF,RB Bragantino,22-300,2002,2,0,99,1.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,3,7,0,0,0,0,0,0.01,0.08,0.09,0.01,0.09,Matches
