Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
394,Armindo Sieb,deGER,"FW,MF",Mainz 05,21,2003,27,5,762,8.5,2,2,4,2,0,0,2,0,2.8,2.8,1.1,3.9,28,18,64,0.24,0.24,0.47,0.24,0.47,0.33,0.13,0.47,0.33,0.47,Matches
395,Tim Siersleben,deGER,DF,Heidenheim,24,2000,16,14,"1,182",13.1,0,0,0,0,0,0,4,0,0.6,0.6,0.5,1.1,8,31,12,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
396,Kiliann Sildillia,frFRA,DF,Freiburg,22,2002,21,8,801,8.9,2,0,2,2,0,0,2,0,0.5,0.5,0.7,1.1,11,29,34,0.22,0,0.22,0.22,0.22,0.05,0.07,0.13,0.05,0.13,Matches
397,André Silva,ptPOR,FW,Werder Bremen,28,1995,7,4,375,4.2,1,0,1,0,1,2,1,0,2.6,1,0.4,1.4,6,10,28,0.24,0,0.24,0,0,0.62,0.09,0.71,0.24,0.33,Matches
398,André Silva,ptPOR,"FW,MF",RB Leipzig,28,1995,8,0,132,1.5,1,2,3,0,1,1,0,0,1.3,0.5,0.6,1.1,6,4,11,0.68,1.36,2.05,0,1.36,0.9,0.38,1.28,0.36,0.74,Matches
399,Mohamed Simakan,frFRA,DF,RB Leipzig,24,2000,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0.3,0.3,3,7,4,0,0,0,0,0,0,0.46,0.46,0,0.46,Matches
400,Xavi Simons,nlNED,MF,RB Leipzig,21,2003,25,25,"2,150",23.9,10,6,16,10,0,0,5,0,5.1,5.1,6.3,11.4,85,140,185,0.42,0.25,0.67,0.42,0.67,0.21,0.26,0.48,0.21,0.48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
401,Danel Sinani,luLUX,"FW,MF",St. Pauli,27,1997,26,14,"1,250",13.9,2,2,4,2,0,0,3,0,1.7,1.7,3,4.6,16,60,64,0.14,0.14,0.29,0.14,0.29,0.12,0.21,0.33,0.12,0.33,Matches
402,Tobias Sippel,deGER,GK,Gladbach,36,1988,1,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
403,Ibrahima Sissoko,mlMLI,MF,Bochum,26,1997,32,30,"2,610",29,2,1,3,2,0,0,11,1,1.7,1.7,1.6,3.3,35,105,69,0.07,0.03,0.1,0.07,0.1,0.06,0.05,0.11,0.06,0.11,Matches
404,Tim Skarke,deGER,"FW,MF",Union Berlin,27,1996,33,11,"1,164",12.9,0,2,2,0,0,0,1,0,2.1,2.1,1.2,3.3,26,25,96,0,0.15,0.15,0,0.15,0.16,0.09,0.25,0.16,0.25,Matches
405,Ellyes Skhiri,tnTUN,MF,Eint Frankfurt,29,1995,30,26,"2,231",24.8,1,2,3,1,0,0,6,0,1.4,1.4,1.4,2.8,17,105,27,0.04,0.08,0.12,0.04,0.12,0.06,0.06,0.11,0.06,0.11,Matches
406,Leo Skiri Østigård,noNOR,DF,Hoffenheim,24,1999,11,11,927,10.3,0,0,0,0,0,0,0,1,0.3,0.3,0.1,0.4,0,51,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
407,Andreas Skov Olsen,dkDEN,"FW,MF",Wolfsburg,24,1999,12,4,535,5.9,1,1,2,1,0,0,0,0,0.8,0.8,1.9,2.7,22,22,48,0.17,0.17,0.34,0.17,0.34,0.14,0.32,0.46,0.14,0.46,Matches
408,Robert Skov,dkDEN,"DF,MF",Union Berlin,28,1996,15,11,852,9.5,2,2,4,1,1,1,1,0,1.7,0.9,2.4,3.3,25,36,45,0.21,0.21,0.42,0.11,0.32,0.18,0.25,0.43,0.1,0.35,Matches
409,Steven Skrzybski,deGER,"MF,FW",Holstein Kiel,31,1992,24,15,"1,323",14.7,6,3,9,5,1,1,0,0,3.5,2.7,2.9,5.6,17,64,71,0.41,0.2,0.61,0.34,0.54,0.24,0.2,0.44,0.19,0.38,Matches
410,Eric Smith,seSWE,"DF,MF",St. Pauli,27,1997,32,32,"2,827",31.4,1,1,2,1,0,0,7,0,1.4,1.4,1.5,2.9,16,118,11,0.03,0.03,0.06,0.03,0.06,0.05,0.05,0.09,0.05,0.09,Matches
411,Anton Stach,deGER,"MF,DF",Hoffenheim,25,1998,30,29,"2,585",28.7,1,2,3,1,0,0,8,0,2,2,2.2,4.2,33,152,36,0.03,0.07,0.1,0.03,0.1,0.07,0.08,0.15,0.07,0.15,Matches
412,Jens Stage,dkDEN,MF,Werder Bremen,27,1996,28,26,"2,204",24.5,10,5,15,10,0,0,10,0,7.2,7.2,2.8,10,28,104,89,0.41,0.2,0.61,0.41,0.61,0.29,0.12,0.41,0.29,0.41,Matches
413,Josip Stanišić,hrCRO,DF,Bayern Munich,24,2000,14,9,876,9.7,0,2,2,0,0,0,0,0,0.3,0.3,1.5,1.8,20,76,30,0,0.21,0.21,0,0.21,0.03,0.15,0.18,0.03,0.18,Matches
414,Niklas Stark,deGER,DF,Werder Bremen,29,1995,26,25,"2,106",23.4,0,1,1,0,0,0,6,1,1.1,1.1,0.1,1.2,7,62,3,0,0.04,0.04,0,0.04,0.05,0,0.05,0.05,0.05,Matches
415,Pascal Stenzel,deGER,DF,Stuttgart,28,1996,10,4,290,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,2,12,16,0,0,0,0,0,0.1,0.17,0.28,0.1,0.28,Matches
416,Leonidas Stergiou,chSUI,DF,Stuttgart,22,2002,12,11,852,9.5,1,2,3,1,0,0,0,1,1.1,1.1,0.9,2,11,39,32,0.11,0.21,0.32,0.11,0.32,0.11,0.1,0.21,0.11,0.21,Matches
417,Finley Stevens,wlsWAL,DF,St. Pauli,21,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
418,Angelo Stiller,deGER,MF,Stuttgart,23,2001,32,31,"2,741",30.5,1,8,9,1,0,0,6,0,1.8,1.8,7.2,9,39,289,69,0.03,0.26,0.3,0.03,0.3,0.06,0.24,0.29,0.06,0.29,Matches
419,Kevin Stöger,atAUT,MF,Gladbach,30,1993,31,16,"1,551",17.2,3,3,6,1,2,2,3,0,3.9,2.3,5.3,7.6,40,121,95,0.17,0.17,0.35,0.06,0.23,0.22,0.31,0.53,0.13,0.44,Matches
420,Niklas Süle,deGER,DF,Dortmund,28,1995,15,12,"1,053",11.7,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,15,47,10,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches
421,Mattias Svanberg,seSWE,MF,Wolfsburg,25,1999,20,14,"1,219",13.5,3,1,4,3,0,0,4,0,3.6,3.6,1.7,5.4,11,36,39,0.22,0.07,0.3,0.22,0.3,0.27,0.13,0.4,0.27,0.4,Matches
422,Daniel Svensson,seSWE,"DF,FW",Dortmund,22,2002,12,8,781,8.7,1,3,4,1,0,0,0,0,0.8,0.8,1.2,1.9,11,41,51,0.12,0.35,0.46,0.12,0.46,0.09,0.14,0.22,0.09,0.22,Matches
423,Haris Tabakovic,baBIH,FW,Hoffenheim,30,1994,22,6,821,9.1,3,1,4,3,0,0,0,0,3.3,3.3,1.2,4.6,4,7,45,0.33,0.11,0.44,0.33,0.44,0.37,0.14,0.5,0.37,0.5,Matches
424,Jonathan Tah,deGER,DF,Leverkusen,28,1996,33,33,"2,970",33,3,0,3,3,0,0,3,0,1.1,1.1,0.4,1.5,15,169,9,0.09,0,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05,Matches
425,Edmond Tapsoba,bfBFA,DF,Leverkusen,25,1999,29,29,"2,507",27.9,0,0,0,0,0,0,4,0,1.1,1.1,0.2,1.3,52,164,17,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
426,Mathys Tel,frFRA,"FW,MF",Bayern Munich,19,2005,8,2,256,2.8,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1,6,9,34,0,0.35,0.35,0,0.35,0.26,0.1,0.36,0.26,0.36,Matches
427,Nathan Tella,ngNGA,"MF,FW",Leverkusen,25,1999,27,17,"1,359",15.1,2,4,6,2,0,0,1,0,3.1,3.1,1.5,4.6,38,22,130,0.13,0.26,0.4,0.13,0.4,0.2,0.1,0.31,0.2,0.31,Matches
428,Martin Terrier,frFRA,"MF,FW",Leverkusen,27,1997,15,7,584,6.5,2,1,3,2,0,0,1,0,2.4,2.4,0.9,3.3,11,14,35,0.31,0.15,0.46,0.31,0.46,0.38,0.14,0.52,0.38,0.52,Matches
429,Arthur Theate,beBEL,DF,Eint Frankfurt,24,2000,31,31,"2,704",30,0,0,0,0,0,0,6,1,2.4,2.4,1,3.4,50,171,24,0,0,0,0,0,0.08,0.03,0.11,0.08,0.11,Matches
430,Norman Theuerkauf,deGER,MF,Heidenheim,37,1987,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
431,Denis Thomalla,deGER,MF,Heidenheim,31,1992,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Phillip Tietz,deGER,FW,Augsburg,27,1997,34,19,"1,686",18.7,7,2,9,6,1,1,4,0,6.1,5.3,1.2,6.5,8,29,113,0.37,0.11,0.48,0.32,0.43,0.33,0.07,0.39,0.28,0.35,Matches
433,Umut Tohumcu,deGER,"MF,FW",Hoffenheim,19,2004,12,3,375,4.2,0,1,1,0,0,0,3,0,0.1,0.1,0.4,0.5,3,13,5,0,0.24,0.24,0,0.24,0.03,0.09,0.12,0.03,0.12,Matches
434,John Tolkin,usUSA,"DF,MF",Holstein Kiel,22,2002,11,9,737,8.2,0,2,2,0,0,0,0,0,0.1,0.1,0.7,0.7,6,17,12,0,0.24,0.24,0,0.24,0.01,0.08,0.09,0.01,0.09,Matches
435,Tiago Tomás,ptPOR,"FW,MF",Wolfsburg,22,2002,32,23,"1,884",20.9,6,1,7,6,0,0,7,0,5.4,5.4,2.6,8.1,31,50,125,0.29,0.05,0.33,0.29,0.33,0.26,0.13,0.38,0.26,0.38,Matches
436,Bazoumana Touré,ciCIV,"FW,MF",Hoffenheim,18,2006,13,7,609,6.8,0,3,3,0,0,0,1,0,1.4,1.4,1.9,3.3,24,14,56,0,0.44,0.44,0,0.44,0.21,0.28,0.49,0.21,0.49,Matches
437,Lucas Tousart,frFRA,MF,Union Berlin,27,1997,15,6,561,6.2,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.8,4,18,13,0,0.16,0.16,0,0.16,0.06,0.07,0.14,0.06,0.14,Matches
438,Omar Traoré,deGER,DF,Heidenheim,26,1998,30,30,"2,616",29.1,0,1,1,0,0,0,7,0,0.5,0.5,1.6,2.2,103,117,115,0,0.03,0.03,0,0.03,0.02,0.06,0.07,0.02,0.07,Matches
439,Kevin Trapp,deGER,GK,Eint Frankfurt,34,1990,26,26,"2,295",25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
440,Philipp Treu,deGER,"MF,DF",St. Pauli,23,2000,33,33,"2,881",32,0,2,2,0,0,0,2,0,1.2,1.2,2.5,3.7,58,105,117,0,0.06,0.06,0,0.06,0.04,0.08,0.12,0.04,0.12,Matches
441,Christopher Trimmel,atAUT,"DF,MF",Union Berlin,37,1987,26,20,"1,740",19.3,0,3,3,0,0,0,5,0,0.2,0.2,2.1,2.3,18,73,45,0,0.16,0.16,0,0.16,0.01,0.11,0.12,0.01,0.12,Matches
442,Tuta,brBRA,"DF,MF",Eint Frankfurt,25,1999,30,26,"2,274",25.3,2,1,3,2,0,0,8,0,1.1,1.1,0.3,1.4,11,78,12,0.08,0.04,0.12,0.08,0.12,0.04,0.01,0.06,0.04,0.06,Matches
443,Lukas Ullrich,deGER,DF,Gladbach,20,2004,26,24,"1,903",21.1,1,2,3,1,0,0,4,0,0.9,0.9,1.8,2.7,31,39,71,0.05,0.09,0.14,0.05,0.14,0.04,0.09,0.13,0.04,0.13,Matches
444,Sven Ulreich,deGER,GK,Bayern Munich,35,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
445,Deniz Undav,deGER,"FW,MF",Stuttgart,28,1996,27,20,"1,726",19.2,9,3,12,9,0,0,4,0,11.7,11.7,3.6,15.2,31,70,141,0.47,0.16,0.63,0.47,0.63,0.61,0.19,0.79,0.61,0.79,Matches
446,Dayot Upamecano,frFRA,DF,Bayern Munich,25,1998,20,20,"1,759",19.5,2,0,2,2,0,0,6,0,1.2,1.2,0.5,1.7,17,137,4,0.1,0,0.1,0.1,0.1,0.06,0.03,0.09,0.06,0.09,Matches
447,Jonas Urbig,deGER,GK,Bayern Munich,20,2003,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
448,Can Uzun,trTUR,"MF,FW",Eint Frankfurt,18,2005,20,6,675,7.5,4,1,5,4,0,0,1,0,3,3,1.1,4.1,11,42,45,0.53,0.13,0.67,0.53,0.67,0.4,0.15,0.55,0.4,0.55,Matches
449,Josha Vagnoman,deGER,"DF,MF",Stuttgart,23,2000,26,19,"1,834",20.4,1,1,2,1,0,0,4,0,1.5,1.5,2.1,3.5,24,47,96,0.05,0.05,0.1,0.05,0.1,0.07,0.1,0.17,0.07,0.17,Matches
450,Siebe Van Der Heyden,beBEL,"DF,MF",St. Pauli,26,1998,13,11,872,9.7,1,0,1,1,0,0,4,1,1.7,1.7,0,1.8,10,28,26,0.1,0,0.1,0.1,0.1,0.18,0,0.18,0.18,0.18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
451,Maarten Vandevoordt,beBEL,GK,RB Leipzig,22,2002,6,4,429,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Ruben Vargas,chSUI,"MF,FW",Augsburg,25,1998,8,3,305,3.4,0,0,0,0,0,0,3,0,0.7,0.7,0.7,1.4,9,13,24,0,0,0,0,0,0.2,0.2,0.4,0.2,0.4,Matches
453,Nikola Vasilj,baBIH,GK,St. Pauli,28,1995,33,33,"2,969",33,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
454,Denis Vavro,skSVK,DF,Wolfsburg,28,1996,29,27,"2,461",27.3,2,0,2,2,0,0,4,0,1.4,1.4,0.2,1.6,9,96,3,0.07,0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
455,Miloš Veljković,rsSRB,DF,Werder Bremen,28,1995,14,11,"1,029",11.4,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.7,9,64,2,0,0.09,0.09,0,0.09,0.05,0.01,0.06,0.05,0.06,Matches
456,Nikolas Veratschnig,atAUT,"DF,MF",Mainz 05,21,2003,15,2,364,4,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,7,7,30,0,0,0,0,0,0.06,0.08,0.13,0.06,0.13,Matches
457,Arthur Vermeeren,beBEL,MF,RB Leipzig,19,2005,28,18,"1,572",17.5,0,2,2,0,0,0,7,0,0.4,0.4,0.9,1.3,14,77,20,0,0.11,0.11,0,0.11,0.02,0.05,0.07,0.02,0.07,Matches
458,Yorbe Vertessen,beBEL,"MF,FW",Union Berlin,23,2001,17,7,718,8,1,0,1,1,0,0,2,0,1.3,1.3,1.6,2.9,18,16,42,0.13,0,0.13,0.13,0.13,0.16,0.2,0.36,0.16,0.36,Matches
459,Gabriel Vidovic,hrCRO,MF,Mainz 05,20,2003,1,0,4,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2,0,0,0,0,0,1.17,0,1.17,1.17,1.17,Matches
460,Gabriel Vidovic,hrCRO,MF,Bayern Munich,20,2003,4,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
461,Kevin Vogt,deGER,DF,Union Berlin,32,1991,18,16,"1,367",15.2,1,0,1,0,1,1,6,0,0.8,0,0,0,11,70,2,0.07,0,0.07,0,0,0.05,0,0.05,0,0,Matches
462,Kevin Volland,deGER,"FW,MF",Union Berlin,32,1992,4,0,61,0.7,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,2,4,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
463,Aster Vranckx,beBEL,MF,Wolfsburg,21,2002,14,6,556,6.2,0,0,0,0,0,0,1,0,0,0,0,0,5,20,6,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
464,Robert Wagner,deGER,MF,St. Pauli,21,2003,12,5,407,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,10,9,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
465,Elye Wahi,frFRA,"FW,MF",Eint Frankfurt,21,2003,8,1,196,2.2,0,0,0,0,0,0,1,0,1.3,1.3,0.1,1.4,6,5,19,0,0,0,0,0,0.58,0.04,0.62,0.58,0.62,Matches
466,Hauke Wahl,deGER,DF,St. Pauli,30,1994,33,33,"2,970",33,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,30,142,10,0,0,0,0,0,0.03,0.02,0.04,0.03,0.04,Matches
467,Paul Wanner,deGER,"MF,FW",Heidenheim,18,2005,29,20,"1,771",19.7,3,2,5,2,1,1,2,0,3.7,2.9,1.3,4.1,28,64,65,0.15,0.1,0.25,0.1,0.2,0.19,0.06,0.25,0.15,0.21,Matches
468,Kjell-Arik Wätjen,deGER,MF,Dortmund,18,2006,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
469,Julian Weigl,deGER,MF,Gladbach,28,1995,33,33,"2,881",32,0,2,2,0,0,0,8,0,0.7,0.7,1.1,1.9,11,122,9,0,0.06,0.06,0,0.06,0.02,0.03,0.06,0.02,0.06,Matches
470,Timon Weiner,deGER,GK,Holstein Kiel,25,1999,25,25,"2,250",25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
471,Nelson Weiper,deGER,"FW,MF",Mainz 05,19,2005,23,7,704,7.8,3,2,5,3,0,0,2,0,4.1,4.1,1.9,6,12,13,62,0.38,0.26,0.64,0.38,0.64,0.52,0.25,0.77,0.52,0.77,Matches
472,Mitchell Weiser,deGER,"DF,MF",Werder Bremen,30,1994,32,32,"2,868",31.9,5,9,14,5,0,0,9,1,5.4,5.4,4.7,10.1,65,125,200,0.16,0.28,0.44,0.16,0.44,0.17,0.15,0.32,0.17,0.32,Matches
473,Noah Weißhaupt,deGER,"FW,MF",St. Pauli,22,2001,19,13,"1,160",12.9,1,0,1,1,0,0,0,0,2.1,2.1,1.8,3.9,42,33,94,0.08,0,0.08,0.08,0.08,0.16,0.14,0.3,0.16,0.3,Matches
474,Noah Weißhaupt,deGER,FW,Freiburg,22,2001,3,0,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
475,Silvan Widmer,chSUI,DF,Mainz 05,31,1993,27,3,504,5.6,0,1,1,0,0,0,3,0,0.3,0.3,0.4,0.7,3,23,36,0,0.18,0.18,0,0.18,0.06,0.07,0.13,0.06,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
476,Patrick Wimmer,atAUT,"MF,FW",Wolfsburg,23,2001,29,22,"1,770",19.7,3,4,7,3,0,0,5,1,3.7,3.7,2.9,6.7,46,91,75,0.15,0.2,0.36,0.15,0.36,0.19,0.15,0.34,0.19,0.34,Matches
477,Jonas Wind,dkDEN,"FW,MF",Wolfsburg,25,1999,31,21,"1,966",21.8,9,3,12,8,1,2,2,0,5.7,4,4.2,8.1,17,100,94,0.41,0.14,0.55,0.37,0.5,0.26,0.19,0.45,0.18,0.37,Matches
478,Florian Wirtz,deGER,"MF,FW",Leverkusen,21,2003,31,25,"2,351",26.1,10,12,22,8,2,4,3,0,9.4,6.1,7,13.1,131,176,309,0.38,0.46,0.84,0.31,0.77,0.36,0.27,0.63,0.23,0.5,Matches
479,Dani de Wit,nlNED,"MF,FW",Bochum,26,1998,28,11,"1,153",12.8,2,1,3,2,0,0,1,0,2.1,2.1,0.5,2.7,5,33,37,0.16,0.08,0.23,0.16,0.23,0.17,0.04,0.21,0.17,0.21,Matches
480,Maximilian Wittek,deGER,DF,Bochum,28,1995,33,32,"2,706",30.1,0,0,0,0,0,0,8,0,1.4,1.4,4.4,5.7,47,141,83,0,0,0,0,0,0.04,0.14,0.19,0.04,0.19,Matches
481,Marius Wolf,deGER,DF,Augsburg,29,1995,32,28,"2,144",23.8,1,3,4,1,0,0,2,0,0.7,0.7,3.2,3.9,36,117,95,0.04,0.13,0.17,0.04,0.17,0.03,0.14,0.16,0.03,0.16,Matches
482,Nick Woltemade,deGER,"FW,MF",Stuttgart,22,2002,28,17,"1,622",18,12,2,14,10,2,3,5,1,10.2,8,4.6,12.6,31,52,141,0.67,0.11,0.78,0.55,0.67,0.57,0.25,0.82,0.44,0.7,Matches
483,Jeong Woo-yeong,krKOR,"MF,FW",Union Berlin,24,1999,23,17,"1,263",14,3,2,5,3,0,0,2,0,2.8,2.8,1.7,4.4,32,63,93,0.21,0.14,0.36,0.21,0.36,0.2,0.12,0.31,0.2,0.31,Matches
484,Granit Xhaka,chSUI,MF,Leverkusen,31,1992,33,33,"2,888",32.1,2,7,9,2,0,0,3,0,0.9,0.9,4.4,5.3,42,318,72,0.06,0.22,0.28,0.06,0.28,0.03,0.14,0.17,0.03,0.17,Matches
485,Erencan Yardimci,trTUR,"FW,MF",Hoffenheim,22,2002,8,3,313,3.5,0,0,0,0,0,0,2,0,1,1,0,1,4,4,12,0,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
486,Dan-Axel Zagadou,frFRA,"DF,MF",Stuttgart,25,1999,2,0,29,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
487,David Zec,siSVN,DF,Holstein Kiel,24,2000,18,18,"1,541",17.1,2,0,2,2,0,0,5,0,1.2,1.2,0.5,1.8,3,34,2,0.12,0,0.12,0.12,0.12,0.07,0.03,0.1,0.07,0.1,Matches
488,Robin Zentner,deGER,GK,Mainz 05,29,1994,32,32,"2,880",32,0,0,0,0,0,0,3,0,0,0,0.3,0.3,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
489,Cedric Zesiger,chSUI,DF,Augsburg,26,1998,15,15,"1,221",13.6,0,2,2,0,0,0,7,1,1.2,1.2,1.3,2.5,4,40,7,0,0.15,0.15,0,0.15,0.09,0.09,0.18,0.09,0.18,Matches
490,Cedric Zesiger,chSUI,DF,Wolfsburg,26,1998,7,5,522,5.8,0,0,0,0,0,0,4,0,0.1,0.1,0,0.1,3,19,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
491,Michael Zetterer,deGER,GK,Werder Bremen,29,1995,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
492,Budu Zivzivadze,geGEO,FW,Heidenheim,30,1994,15,10,958,10.6,2,3,5,2,0,0,0,0,1.7,1.7,1.5,3.2,11,20,43,0.19,0.28,0.47,0.19,0.47,0.16,0.14,0.3,0.16,0.3,Matches
